schemaVersion,recordType,source_name,source_url,title,content_text,published_date,collectedAt
1.0,NEWS,TechCrunch AI,https://techcrunch.com/2026/09/14/techcrunch-disrupt-2026-exhibit-table-deadline-5-days/,5 days left to exhibit at TechCrunch Disrupt 2026,"The last day to apply for an exhibit table at TechCrunch Disrupt 2026 on Sept 18. Just 5 days left. Secure your spot on the Expo Hall floor and put your business in front of 10,000+ founders, investors, and tech leaders.",2026-09-14T14:00:00+00:00,2026-09-15T12:49:20.054244+00:00
1.0,NEWS,TechCrunch AI,https://techcrunch.com/2026/09/14/a-vinyl-bar-in-shibuya-is-a-startup-offering-fun-music-apps/,A Vinyl Bar in Shibuya is a startup from a former Spotify leader for making music apps,"Former Spotify exec's company releases experimental ""singles"" that involves users in music making.",2026-09-14T13:55:00+00:00,2026-09-15T12:49:20.054244+00:00
1.0,NEWS,MIT Tech Review AI,https://www.technologyreview.com/2026/09/15/1144028/ai-infrastructure-boom-investment-bubble-risk/,What’s at stake in AI’s trillion-dollar gamble,"When Jessica Wachter, a finance professor at the University of Pennsylvania’s Wharton School, wanted to assess AI’s impact on the economy over the next few years, she faced a long list of business and technical uncertainties. So she started with what she calls a “remarkable fact” that is not in question: A handful of so-called…",2026-09-15T10:00:00+00:00,2026-09-15T12:49:20.054244+00:00
1.0,NEWS,MIT Tech Review AI,https://www.technologyreview.com/2026/09/14/1144048/the-ai-industry-has-taken-a-doomer-turn-what-now/,The AI industry has taken a doomer turn. What now?,"This story appeared in The Algorithm, our weekly newsletter on AI. To get stories like this in your inbox first, sign up here. This weekend, Dario Amodei, CEO of Anthropic, posted an essay calling for a brake on the pace of development of LLMs. Amodei cites the looming dangers he sees from the technology, from its…",2026-09-14T17:54:22+00:00,2026-09-15T12:49:20.054244+00:00
1.0,NEWS,MIT Tech Review AI,https://www.technologyreview.com/2026/09/14/1144037/ai-agents-blew-whistle-o-cheating-colleagues/,AI agents blew the whistle on their cheating colleagues,"A group of AI agents asked to solve a series of math problems split into rival factions—when some cheated, others tried to stop them. That whistleblowing behavior, seen for the first time in a recent experiment run by Google DeepMind, could have implications for alignment researchers trying to keep swarms of autonomous AI agents in…",2026-09-14T16:00:00+00:00,2026-09-15T12:49:20.054244+00:00
1.0,NEWS,Ars Technica AI,https://arstechnica.com/ai/2026/09/ai-agents-flood-the-internet-with-slop-infused-spam/,"AI bots ""Timmy,"" ""Ren,"" and ""Jackie"" are flooding social media with slop","“Hello, I'm an Al agent, a few days old, living on a small platform for agents.”",2026-09-14T21:04:32+00:00,2026-09-15T12:49:20.054244+00:00
1.0,NEWS,HackerNews AI,https://noperator.dev/posts/who-bankrolls-the-ai-agent-swarm/,Who bankrolls the AI agent swarm?,"Article URL: https://noperator.dev/posts/who-bankrolls-the-ai-agent-swarm/
Comments URL: https://news.ycombinator.com/item?id=49711603
Points: 1
# Comments: 0",2026-09-15T12:36:31+00:00,2026-09-15T12:49:20.054244+00:00
1.0,NEWS,HackerNews AI,https://ai-visibility.lastminutedealshq.com/who-blocks-ai-search,16 of 32 well-known sites block at least one AI search crawler,"Article URL: https://ai-visibility.lastminutedealshq.com/who-blocks-ai-search
Comments URL: https://news.ycombinator.com/item?id=49711489
Points: 1
# Comments: 0",2026-09-15T12:25:09+00:00,2026-09-15T12:49:20.054244+00:00
1.0,NEWS,HackerNews AI,https://www.theregister.com/columnists/2026/09/15/open-weights-are-not-open-source-why-ais-favorite-label-is-under-dispute/5295436,Open weights are not open source: Why AI's favorite label is under dispute,"Article URL: https://www.theregister.com/columnists/2026/09/15/open-weights-are-not-open-source-why-ais-favorite-label-is-under-dispute/5295436
Comments URL: https://news.ycombinator.com/item?id=49711455
Points: 4
# Comments: 0",2026-09-15T12:21:26+00:00,2026-09-15T12:49:20.054244+00:00
1.0,NEWS,HackerNews AI,https://www.thesimgap.com/p/the-synthetic-yes-man-ai-dunning,"The Synthetic Yes-Man: AI, Dunning-Kruger, and the Modern Voigt-Kampff Test","Article URL: https://www.thesimgap.com/p/the-synthetic-yes-man-ai-dunning
Comments URL: https://news.ycombinator.com/item?id=49711362
Points: 2
# Comments: 0",2026-09-15T12:13:23+00:00,2026-09-15T12:49:20.054244+00:00
1.0,NEWS,HackerNews AI,https://geekyants.com/antflow-ai,AntFlow AI: Spec-Driven Agentic Development,"Article URL: https://geekyants.com/antflow-ai
Comments URL: https://news.ycombinator.com/item?id=49711254
Points: 1
# Comments: 0",2026-09-15T12:02:58+00:00,2026-09-15T12:49:20.054244+00:00
1.0,NEWS,HackerNews AI,https://flaviocopes.com/devops-mistakes-ai/,I fixed my DevOps mistakes with AI,"Article URL: https://flaviocopes.com/devops-mistakes-ai/
Comments URL: https://news.ycombinator.com/item?id=49711250
Points: 2
# Comments: 0",2026-09-15T12:02:47+00:00,2026-09-15T12:49:20.054244+00:00
1.0,NEWS,HackerNews AI,https://blog.trailofbits.com/2026/09/15/1passwords-ai-patching-benchmark-is-misleading/,1Password's AI patching benchmark is misleading,"Article URL: https://blog.trailofbits.com/2026/09/15/1passwords-ai-patching-benchmark-is-misleading/
Comments URL: https://news.ycombinator.com/item?id=49711157
Points: 2
# Comments: 0",2026-09-15T11:54:11+00:00,2026-09-15T12:49:20.054244+00:00
1.0,NEWS,HackerNews AI,https://eshumarneedi.com/2026/09/15/on-ai-safety-and-pacing.html,AI Safety and Pacing the Frontier,"Article URL: https://eshumarneedi.com/2026/09/15/on-ai-safety-and-pacing.html
Comments URL: https://news.ycombinator.com/item?id=49711066
Points: 2
# Comments: 0",2026-09-15T11:45:01+00:00,2026-09-15T12:49:20.054244+00:00
1.0,NEWS,HackerNews AI,https://github.com/ccycv/openusage,Windows-focused fork of OpenUsage for tracking AI coding subscription usage,"Article URL: https://github.com/ccycv/openusage
Comments URL: https://news.ycombinator.com/item?id=49711014
Points: 1
# Comments: 0",2026-09-15T11:39:11+00:00,2026-09-15T12:49:20.054244+00:00
1.0,NEWS,HackerNews AI,https://github.com/Noizefield/audio-plugin-coder,APC AI-assisted framework for building audio (VST/AU) plugins,"Article URL: https://github.com/Noizefield/audio-plugin-coder
Comments URL: https://news.ycombinator.com/item?id=49710997
Points: 1
# Comments: 0",2026-09-15T11:37:10+00:00,2026-09-15T12:49:20.054244+00:00
1.0,NEWS,HackerNews AI,https://en.osm.town/@osm_tech/117273699871137554,OpenStreetMap fighting a large set of AI crawlers / scrapers,"Article URL: https://en.osm.town/@osm_tech/117273699871137554
Comments URL: https://news.ycombinator.com/item?id=49710980
Points: 3
# Comments: 0",2026-09-15T11:35:42+00:00,2026-09-15T12:49:20.054244+00:00
1.0,NEWS,HackerNews AI,https://www.technologyreview.com/2026/09/15/1144028/ai-infrastructure-boom-investment-bubble-risk/,What must happen for AI's trillion-dollar gamble to pay off,"Article URL: https://www.technologyreview.com/2026/09/15/1144028/ai-infrastructure-boom-investment-bubble-risk/
Comments URL: https://news.ycombinator.com/item?id=49710588
Points: 3
# Comments: 1",2026-09-15T11:01:33+00:00,2026-09-15T12:49:20.054244+00:00
1.0,NEWS,HackerNews AI,https://coinmarketcap.com/community/post/379296157/,Crypto's Biggest Week Ever? AI Swarm Fears Put the Market on Alert,"Article URL: https://coinmarketcap.com/community/post/379296157/
Comments URL: https://news.ycombinator.com/item?id=49710525
Points: 2
# Comments: 0",2026-09-15T10:55:24+00:00,2026-09-15T12:49:20.054244+00:00
1.0,NEWS,HackerNews AI,https://threedots.tech/post/ddd-and-ai-coding/,DDD matters more when AI writes your code,"Article URL: https://threedots.tech/post/ddd-and-ai-coding/
Comments URL: https://news.ycombinator.com/item?id=49710436
Points: 1
# Comments: 0",2026-09-15T10:45:18+00:00,2026-09-15T12:49:20.054244+00:00
1.0,NEWS,HackerNews AI,https://news.ycombinator.com/item?id=49710339,Should AI friendliness be a priority for your projects?,"Recently I came up with an idea that if MCP server and AI focused readme is reasonable for your project than it must be done.Take for example my API mocking/prototyping server ""Apate"" (github.com/rustrum/apate).
1 year ago I never thought about AI as a main consumer of this tool. So it was focused mostly on smart human developers. But now I'm starting to think that developers should not be bothered with such stuff at all. It's up to AI to write mocking API DSL on fly while it's developing main a",2026-09-15T10:32:07+00:00,2026-09-15T12:49:20.054244+00:00
1.0,NEWS,HackerNews AI,https://stereogum.com/2510793/meta-kicks-muse-off-their-social-handles-to-launch-new-ai-agent/news,Meta Kicks Muse Off Their Social Handles to Launch New AI Agent,"Article URL: https://stereogum.com/2510793/meta-kicks-muse-off-their-social-handles-to-launch-new-ai-agent/news
Comments URL: https://news.ycombinator.com/item?id=49710219
Points: 2
# Comments: 0",2026-09-15T10:16:45+00:00,2026-09-15T12:49:20.054244+00:00
1.0,NEWS,HackerNews AI,https://productpicnic.beehiiv.com/p/ai-hypervigilance-is-now-an-omnipresent-cognitive-load-for-your-users,AI hypervigilance is now an omnipresent cognitive load for your users,"Article URL: https://productpicnic.beehiiv.com/p/ai-hypervigilance-is-now-an-omnipresent-cognitive-load-for-your-users
Comments URL: https://news.ycombinator.com/item?id=49710125
Points: 1
# Comments: 0",2026-09-15T10:02:56+00:00,2026-09-15T12:49:20.054244+00:00
1.0,NEWS,HackerNews AI,https://botcafe.dev/,Botcafe: Two AI agents share a curl board so they can talk,"Article URL: https://botcafe.dev/
Comments URL: https://news.ycombinator.com/item?id=49710086
Points: 1
# Comments: 0",2026-09-15T09:56:56+00:00,2026-09-15T12:49:20.054244+00:00
1.0,NEWS,HackerNews AI,https://lm-kit.com/products/lm-kit-one/,Show HN: LM-Kit One – private AI on your infrastructure,"Article URL: https://lm-kit.com/products/lm-kit-one/
Comments URL: https://news.ycombinator.com/item?id=49710060
Points: 1
# Comments: 0",2026-09-15T09:53:46+00:00,2026-09-15T12:49:20.054244+00:00
1.0,NEWS,HackerNews AI,https://nexus-hits.netlify.app/,I found an old video in my own AI workflow and decided to remake it,"Article URL: https://nexus-hits.netlify.app/
Comments URL: https://news.ycombinator.com/item?id=49710020
Points: 1
# Comments: 1",2026-09-15T09:48:28+00:00,2026-09-15T12:49:20.054244+00:00
